"221Addie_GranddadandPops" "221Addie_TheSlap" "AMAZINGmadness_Alike" "AMAZINGmadness_ItMayBeRage" "AmbiguousMorals_CapturedInaPrecariousSituation" "AmbiguousMorals_TwoYearsLater" "EventHorizon_InFineSpirits" "EventHorizon_NotQuiteaCountryHoliday" "Lizard501_TheCollegeDays" "Lizard501_TheForger" "okapi_Bees&OtherStories" "okapi_Cheers" "okapi_FromthePenofInkyQuill"
"himself" 0.0530054065514683 0.156183444554877 0.326140374391279 0 0.202839756592292 0.316062761033977 0.0662919941368414 0.0743665323562022 0.1476853166714 0.0772946859903382 0.0607762340614326 0.110611724842833 0.0697669348333224
"want" 0.169617300964698 0.177481186994179 0.134030290845731 0 0.105476673427992 0.0978289498438499 0.115642700883157 0.108845560994078 0.0454416358988924 0.0386473429951691 0.0668538574675759 0.180619145629437 0.0196219504218719
"get" 0.222622707516167 0.227175919352549 0.122116487214999 0 0.129817444219067 0.142980772848704 0.132583988273683 0.114930095459585 0.164725930133485 0.193236714975845 0.0486209872491461 0.130213802663082 0.0283428172760372
"only" 0.0530054065514683 0.0851909697572057 0.172750152645609 0 0.1947261663286 0.221996463107198 0.129637677423157 0.102084967143514 0.119284294234592 0.0772946859903382 0.102104073223207 0.0840089049439241 0.087208668541653
"make" 0.137814057033817 0.134885702115576 0.126584163576524 0 0.0892494929006085 0.112879557512135 0.162047096778946 0.137916114551502 0.0681624538483385 0.154589371980676 0.055914135336518 0.0945100180619146 0.0610460679791571
"two" 0.159016219654405 0.163282692034644 0.101267330861219 0 0.0567951318458418 0.109116905595063 0.097964835779999 0.117634332999811 0.170406134620846 0.0966183574879227 0.122767992804094 0.122512986376556 0.102470185536442
"any" 0.0424043252411746 0.0851909697572057 0.0893535272304874 0 0.0973630831643002 0.105354253677992 0.192983360709472 0.16631060872387 0.113604089747231 0.0772946859903382 0.0826556783235484 0.0434046008876941 0.0588658512656158
"though" 0.031803243930881 0.127786454635809 0.0253168327153048 0 0.0567951318458418 0.0714903864243519 0.221709891502103 0.213634765677817 0.102243680772508 0.0386473429951691 0.0413278391617742 0.021002226235981 0.0763075849739464
"might" 0.0424043252411746 0.0212977424393014 0.0461659890690852 0 0.0243407707910751 0.0639650825902096 0.148052120238946 0.180507855810054 0.0397614314115308 0.0193236714975845 0.143431912384981 0.0714075692023354 0.093749318682277
"being" 0.0742075691720556 0.04969473235837 0.0982888799535362 0 0.0649087221095335 0.13169281709749 0.176778651031577 0.16631060872387 0.124964498721954 0.135265700483092 0.0534830859740607 0.0567060108371487 0.0654065014062398
